handle,author_name,followers,tweet_count,total_views,total_likes,total_retweets,engagement_rate,amplification_mult,composite_score,tier,sample_tweet,added_at,source
aakashgupta,Aakash Gupta,219336,2,1821730,20048,1683,0.011,8.31,0.1004,tier3_reach,"Your brain literally processes text differently after age 25.

The prefrontal co",2026-04-05,auto_scored
amasad,Amjad Masad,449126,14,2035903,8727,630,0.0043,4.53,0.0526,tier3_reach,It’s so baffling why all big OSS models do not train on enough code. Not only do,2026-04-05,auto_scored
sama,sama,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
karpathy,karpathy,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
swyx,swyx,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
goodside,goodside,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
simonw,simonw,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
ilyasut,ilyasut,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
ycombinator,ycombinator,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
notthreadguy,notthreadguy,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
trq212,trq212,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
kimmonismus,kimmonismus,0,0,0,0,0,0,0,0,bootstrap,,2026-04-05,manual_bootstrap
